Continent,Region,Country,Value,Type,Year_
Asia,Asia,Taiwan,176.0,Imports,2018
Asia,Asia,Thailand,76.0,Imports,2018
Asia,Asia,Rest Of Asia,1506.0,Imports,2018
Asia,Asia,Asia Unallocated,190.0,Imports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1127.0,Imports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,124.0,Imports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,11.0,Imports,2018
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2018
Africa,Africa,Nigeria,85.0,Imports,2018
Africa,Africa,South Africa,585.0,Imports,2018
Africa,Africa,Rest Of Africa,685.0,Imports,2018
Africa,Africa,Africa Unallocated,154.0,Imports,2018
Europe,European Union (EU),Austria,690.0,Imports,2019
Europe,European Union (EU),Belgium,1569.0,Imports,2019
Europe,European Union (EU),Bulgaria,290.0,Imports,2019
Europe,European Union (EU),Croatia,84.0,Imports,2019
Europe,European Union (EU),Cyprus,200.0,Imports,2019
Europe,European Union (EU),Czechia,714.0,Imports,2019
Europe,European Union (EU),Denmark,956.0,Imports,2019
Europe,European Union (EU),Estonia,34.0,Imports,2019
Europe,European Union (EU),Finland,262.0,Imports,2019
Europe,European Union (EU),France,5539.0,Imports,2019
Europe,European Union (EU),Germany,6124.0,Imports,2019
Europe,European Union (EU),Greece,142.0,Imports,2019
Europe,European Union (EU),Hungary,318.0,Imports,2019
Europe,European Union (EU),Ireland,8513.0,Imports,2019
Europe,European Union (EU),Italy,2184.0,Imports,2019
Europe,European Union (EU),Latvia,65.0,Imports,2019
Europe,European Union (EU),Lithuania,112.0,Imports,2019
Europe,European Union (EU),Luxembourg,2330.0,Imports,2019
Europe,European Union (EU),Malta,67.0,Imports,2019
Europe,European Union (EU),Netherlands,5032.0,Imports,2019
Europe,European Union (EU),Poland,1308.0,Imports,2019
Europe,European Union (EU),Portugal,316.0,Imports,2019
Europe,European Union (EU),Romania,410.0,Imports,2019
Europe,European Union (EU),Slovakia,376.0,Imports,2019
Europe,European Union (EU),Slovenia,66.0,Imports,2019
Europe,European Union (EU),Spain,2148.0,Imports,2019
Europe,European Union (EU),Sweden,4065.0,Imports,2019
Europe,European Free Trade Association (EFTA),Iceland,20.0,Imports,2019
Europe,European Free Trade Association (EFTA),Liechtenstein,9.0,Imports,2019
Europe,European Free Trade Association (EFTA),Norway,1252.0,Imports,2019
Europe,European Free Trade Association (EFTA),Switzerland,4251.0,Imports,2019
Europe,Other Europe,Russia,309.0,Imports,2019
Europe,Other Europe,Isle Of Man,44.0,Imports,2019
Europe,Other Europe,Turkey,207.0,Imports,2019
Europe,Other Europe,Rest Of Europe,324.0,Imports,2019
Europe,Other Europe,Europe Unallocated,2317.0,Imports,2019
America,America,Brazil,155.0,Imports,2019
America,America,Canada,1994.0,Imports,2019
America,America,Mexico,166.0,Imports,2019
America,America,USA,25932.0,Imports,2019
America,America,Rest Of America,898.0,Imports,2019
America,America,America Unallocated,38.0,Imports,2019
Asia,Asia,China,1249.0,Imports,2019
Asia,Asia,Hong Kong,1095.0,Imports,2019
Asia,Asia,India,5154.0,Imports,2019
